winery;country;region_1
hawk and horse vineyards;us;red hills lake county
joh jos prüm;germany;
johannishof;germany;
king estate;us;willamette valley
palacios remondo;spain;rioja
lang  reed;us;napa valley
lucienne;us;santa lucia highlands
navarro;us;anderson valley
occasio;us;livermore valley
pali;us;santa barbara county
pear valley;us;paso robles
renwood;us;amador county
starmont;us;carneros
stonehedge;us;napa valley
bodegas landaluce;spain;rioja
bodegas palacio;spain;rioja
benoît daridan;france;cheverny
coeur de terre;us;willamette valley
cummins road;us;willamette valley
il falchetto;italy;barbera dasti superiore
la fusina;italy;dogliani superiore
monchiero carbone;italy;roero
montalbera;italy;barbera dasti
raiza;spain;rioja
mount veeder;us;mount veeder
podere ruggeri corsini;italy;barbera dalba
terras de alter;portugal;
shoofly;australia;victoria
tabor;israel;
tiza;argentina;uco valley
larkspur;us;oregon
ledger david;us;rogue valley
il poggione;italy;brunello di montalcino
juris;austria;
château la garricq;france;moulis en médoc
château lévangile;france;pomerol
château saint estèphe;france;saint estèphe
conti costanti;italy;brunello di montalcino
corte dei venti;italy;brunello di montalcino
dama;us;columbia valley wa
diamandes;argentina;uco valley
emilio moro;spain;ribera del duero
gross;austria;
san lorenzo;italy;brunello di montalcino
teho;argentina;mendoza
terre nere;italy;brunello di montalcino
greek wine cellars;greece;
estate constantin gofas;greece;
lafazanis;greece;
boutari;greece;
concannon;us;livermore valley
laurenz v;austria;
lavelle;us;willamette valley
mullineux;south africa;
chaltén;argentina;neuquén
mansard;france;champagne
piccini;italy;chianti classico
quinta do crasto;portugal;
quintay;chile;
rickshaw;us;california
casa emma;italy;chianti classico
castello dalbola;italy;chianti classico
castello di verrazzano;italy;chianti classico
domaine descausses;france;gaillac
sierra cantabria;spain;rioja
vignamaggio;italy;chianti classico
villa mangiacane;italy;chianti classico
tenute del cerro;italy;rosso di montepulciano
hearst ranch;us;paso robles
kings ridge;us;willamette valley
evel;portugal;
la vida al camp;spain;cava
murgo;italy;vino spumante
ot;italy;toscana
paul anheuser;germany;
pieve santo stefano;italy;toscana
prime;us;coombsville
quercia al poggio;italy;toscana
quinta dos aciprestes;portugal;
rainoldi;italy;valtellina superiore
sierra batuco;chile;
thomas halby;germany;
claudia papayianni;greece;
vigna di pettineo;italy;vino spumante
william hill estate;us;central coast
verse  chorus;us;napa valley
viña san vicente;chile;
volpaia;italy;toscana
philo ridge;us;mendocino
ixsir;lebanon;
jean marc brocard;france;chablis
lynch wines;us;sierra foothills
maclaren;us;russian river valley
monte da ravasqueira;portugal;
dona maria júlio bastos;portugal;
fitapreta vinhos;portugal;
fontanabianca;italy;barbaresco
friedrich becker;germany;
anselmo mendes;portugal;
azamor;portugal;
bernhard huber;germany;
bodega tacuil;argentina;salta
boeger;us;el dorado
ca nova;italy;ghemme
cantina santadi;italy;carignano del sulcis
provam;portugal;
rudius;us;walla walla valley or
saxon brown;us;sonoma coast
sella  mosca;italy;alghero
treos;us;willamette valley
poeira;portugal;
graceland;south africa;
josef chromy;australia;tasmania
morro bay;us;california
ott  murphy;us;columbia valley wa
quinta das maias;portugal;
quinta de santana;portugal;
bulletin place;australia;south eastern australia
tercos;argentina;mendoza
alente;portugal;
chateau de launay;france;bordeaux supérieur
el escocés volante;spain;calatayud
domaine roblin;france;sancerre
lafou;spain;terra alta
patient cottat;france;sancerre
domaine lancienne cure;france;pécharmant
sean thackrey;us;anderson valley
bonair;us;yakima valley
château de fonbel;france;saint émilion
château maris;france;minervois la liviniere
domaine lignères;france;corbières
drylands;new zealand;
elki;chile;
shaw and smith;australia;adelaide hills
mud house;new zealand;
viña mar de casablanca;chile;
willi haag;germany;
brampton;south africa;
château cos labory;france;saint estèphe
chatter creek;us;columbia valley wa
maurodos;spain;toro
k vintners;us;walla walla valley wa
betz family;us;yakima valley
sineann;us;columbia valley wa
château suduiraut;france;sauternes
fel;us;anderson valley
greyscale;us;napa valley
produttori del barbaresco;italy;barbaresco
renteria;us;napa valley
boeckel;france;alsace
wildhurst;us;lake county
mount eden vineyards;us;santa cruz mountains
genius wines;us;chalk hill
happy canyon vineyard;us;happy canyon of santa barbara
josé maria da fonseca;portugal;
abbona marziano;italy;barolo
castle rock;us;mendocino
taliano;italy;barbaresco
viña albali;spain;valdepeñas
château du coudray montpensier;france;chinon
château lafont menaut;france;pessac léognan
château simard;france;saint émilion
enanzo;spain;navarra
etienne de tauriac;france;côtes de bourg
milijan jelić;serbia;
parusso;italy;barolo
maray;chile;
jean michel cazes;france;bordeaux
fischer;austria;
brilliant mistake;us;stags leap district
bernhard ott;austria;
trenel fils;france;juliénas
wolff;us;edna valley
haraszthy;us;sonoma valley
hiedler;austria;
burrowing owl;canada;okanagan valley
domaine des chers;france;saint amour
freakshow;us;lodi
blue rock;us;sonoma coast
brancaia;italy;toscana
gundlach bundschu;us;sonoma valley
anton bauer;austria;
baker  brain;us;monterey county
ballentine;us;napa valley
clos fourtet;france;saint émilion
abacela;us;southern oregon
borsao;spain;campo de borja
clarendon hills;australia;clarendon
domaine specht;france;alsace
evergreen vineyards;us;oregon
luminous hills;us;willamette valley
wagner;us;finger lakes
bodegas san prudencio;spain;rioja
cathedral ridge;us;columbia valley or
kumeu river;new zealand;
riecine;italy;chianti classico
tenuta di riseccoli;italy;chianti classico
terenzi;italy;morellino di scansano
domaine buronfosse;france;côtes du jura
domaine pignier;france;côtes du jura
fattoria di montemaggio;italy;chianti classico
finca la celia;argentina;uco valley
françois millet;france;sancerre
poggio scalette;italy;chianti classico
querciavalle;italy;chianti classico
quinta de arcossó;portugal;
thörle;germany;
gary farrell;us;russian river valley
philipp kuhn;germany;
valderiz;spain;ribera del duero
alloro;us;chehalem mountains
hall;us;st helena
hunt mckay;us;rutherford
hyland;us;mcminnville
lancaster;us;alexander valley
le casematte;italy;sicilia
lemelson;us;willamette valley
lenné estate;us;willamette valley
vercingetorix vx;us;willamette valley
villa maria;new zealand;
madmon;israel;
michael gill cellars;us;paso robles
muxagat;portugal;
domaine maillard;france;corton les renardes
eric kent;us;russian river valley
fidelity;us;alexander valley
au pied du mont chauve;france;chassagne montrachet
bailiwick;us;russian river valley
caparzo;italy;brunello di montalcino
castelli martinozzi;italy;brunello di montalcino
gonzález byass;spain;jerez
maison nicolas perrin;france;cornas
clement et florian berthier;france;coteaux du giennois
cordella;italy;brunello di montalcino
domaine matthias et emile roblin;france;sancerre
domaine pellé;france;menetou salon
domaine vrignaud;france;chablis
querciabella;italy;chianti classico
raventós i blanc;spain;penedès
salcheto;italy;vino nobile di montepulciano
castrucci;us;napa valley
isabelle et pierre clément;france;menetou salon
kanzler;us;sonoma coast
shining hill;us;columbia valley wa
velenosi;italy;falerio
colonnara;italy;verdicchio dei castelli di jesi
david girard;us;el dorado
domaine pfister;france;alsace
domaine sorin;france;bandol
fattoria le terrazze;italy;conero
fox run;us;finger lakes
frédéric mallo;france;alsace
garces silva;chile;
fairview;south africa;
morgenhof;south africa;
vicari;italy;rosso piceno
vin du lac;us;columbia valley wa
weingut mayer am pfarrplatz;austria;
innocent bystander;australia;victoria
katnook estate;australia;coonawarra
mccay cellars;us;lodi
nice;argentina;mendoza
rolling;australia;central ranges
southern right;south africa;
steppe cellars;us;columbia valley wa
taltarni;australia;south eastern australia
tormentoso;south africa;
altocedro;argentina;la consulta
carlos serres;spain;rioja
mccrea cellars;us;yakima valley
mi terruño;argentina;mendoza
nuna;argentina;mendoza
perrin  fils;france;côtes du rhône villages
campo viejo;spain;rioja
ormilles;france;côtes de provence
ravoire et fils;france;coteaux daix en provence
tertulia;us;columbia valley wa
stylo;spain;calatayud
château gassier;france;côtes de provence
chateau la calisse;france;coteaux varois
château réal martin;france;côtes de provence
foxen 7200;us;happy canyon of santa barbara
kurt angerer;austria;
michele satta;italy;toscana
reaper;us;santa ynez valley
refugio ranch;us;santa ynez valley
seifried;new zealand;
sherwood estate;new zealand;
waterstone;us;napa valley
flying dreams;us;columbia valley wa
greenhough;new zealand;
hazlitt 1852 vineyards;us;finger lakes
hollen family vineyards;argentina;mendoza
giesen;new zealand;
groot constantia;south africa;
gualdo del re;italy;val di cornia suvereto
cambridge road;new zealand;
cappella santandrea;italy;vernaccia di san gimignano
castello della sala;italy;orvieto classico superiore
colle spinello;italy;morellino di scansano
commanderie de peyrassol;france;côtes de provence
seven deadly zins;us;lodi
lemos  van zeller;portugal;
alma andina;argentina;mendoza
brutocao;us;mendocino
chavet fils;france;menetou salon
poema;spain;cava
rovisco garcia;portugal;
valiano;italy;chianti classico
villagrán;spain;vino de la tierra altiplano de sierra nevada
herdade da gâmbia;portugal;
basilicus;hungary;
björnson;us;eola amity hills
casa do valle;portugal;
claudio alario;italy;barolo
clos venturi;france;vin de france
danieli;georgia;
domaine edmond cornu;france;chorey lès beaune
gehricke;us;los carneros
gian piero marrone;italy;barbaresco
tintonegro;argentina;mendoza
troon;us;applegate valley
willful;us;willamette valley
zaca mesa;us;santa ynez valley
signoseis;argentina;valle de uco
50 harvests;us;napa valley
bodega noemía de patagonia;argentina;patagonia
labouré roi;france;chablis
fonseca;portugal;
vista alegre;portugal;
w  j grahams;portugal;
annefield vineyards;us;virginia
besserat de bellefon;france;champagne
marqués de elciego;spain;rioja
passion vineyards;us;columbia valley wa
silver buckle;us;lodi
vistamar;chile;
wyeast vineyards;us;columbia gorge or
zero one vintners;us;columbia valley wa
château léoube;france;côtes de provence
grands terroirs de france;france;saint émilion
tenute silvio nardi;italy;brunello di montalcino
neumeister;austria;
tinhof;austria;
astrales;spain;ribera del duero
giovanni chiappini;italy;bolgheri superiore
arndorfer;austria;
clos du marquis;france;saint julien
eichinger;austria;
hager matthias;austria;
salvioni;italy;brunello di montalcino
stadlmann;austria;
ingrid groiss;austria;
creación;chile;
don bernardino;spain;valdeorras
grati;italy;toscana
cristiari;spain;costers del segre
ripken;us;lodi
camelot;us;california
dominio del viento;spain;rioja
alto los romeros;chile;
zerran;spain;montsant
gresser;us;willamette valley
insomnia;us;california
santa alba;chile;
scratchpad;us;central coast
terrai;spain;cariñena
trencalòs;spain;vino de la tierra de castilla
loosen bros;germany;
spice route;south africa;
château eugénie;france;cahors
château jolys;france;jurançon
château ponzac;france;cahors
gouguenheim winery;argentina;mendoza
henri milan;france;les baux de provence
illahe;us;willamette valley
jean luc baldès;france;cahors
martino;argentina;agrelo
carl ehrhard;germany;
odfjell;chile;
pellegrini vineyards;us;north fork of long island
prinz salm;germany;
rooster hill;us;finger lakes
root1;chile;
salvatore principe;us;lodi
sheldrake point;us;finger lakes
hermann j wiemer;us;finger lakes
chapel hill;australia;mclaren vale
hidalgo;spain;jerez
henschke;australia;eden valley
apolloni;us;willamette valley
cvne;spain;rioja
hans moser;austria;
oriol rossell;spain;cava
retour;us;willamette valley
roux père et fils;france;meursault
broken earth;us;paso robles
township 7;canada;okanagan valley
château de chatelard;france;moulin à vent
cougar;us;temecula valley
donna olimpia 1898;italy;bolgheri
dusted valley;us;wahluke slope
ehlers estate;us;st helena
foley;us;sta rita hills
gernot and heike heinrich;austria;
chateau de manissy;france;tavel
poggio al tesoro;italy;bolgheri superiore
rainer wess;austria;
ryan cochrane;us;sta rita hills
telaya;us;
thirty seven wines;us;sonoma coast
jax;us;napa valley
louis barthélémy;france;champagne
mailly grand cru;france;champagne
reininger;us;walla walla valley wa
tegernseerhof;austria;
jäger;austria;
le macchiole;italy;toscana
château beaumont;france;haut médoc
château clément pichon;france;haut médoc
château larose perganson;france;haut médoc
château montrose;france;saint estèphe
bacigalupi;us;russian river valley
boatique;us;big valley district lake county
brooklyn west;us;santa ynez valley
vietti;italy;barolo
herzog;us;alexander valley
château de brigue;france;côtes de provence
collier falls;us;dry creek valley
domaine de la bégude;france;bandol
domaine de la vallongue;france;les baux de provence
domaines ott;france;côtes de provence
elvio cogno;italy;langhe
fallbrook;us;south coast
oak farm;us;lodi
paraiso vineyards;us;santa lucia highlands
salomon  andrew;new zealand;
trefethen;us;oak knoll district
lincourt;us;sta rita hills
rotta;us;paso robles
cebada;us;santa ynez valley
davies;us;anderson valley
domaine zind humbrecht;france;alsace
fiddlehead;us;santa ynez valley
last light;us;san luis obispo county
monte del frà;italy;amarone della valpolicella classico
monte faustino;italy;amarone della valpolicella classico
quinta cruz;us;san antonio valley
raymond;us;diamond mountain district
loriginal french kiss;france;vin de france
café du midi;france;vin de france
château saint baillon;france;côtes de provence
voiturette;france;vin de france
fat gaucho;argentina;mendoza
bodega cuarto dominio;argentina;mendoza
maison de la villette;france;vin de france
belle made for you;france;vin de france
la vieille ferme;france;vin de france
le pépin;france;vin de france
romantic;france;vin de france
arzuaga;spain;ribera del duero
region 1;argentina;mendoza
château de saint martin;france;côtes de provence
tedeschi family;us;napa valley
quevedo;portugal;
real compañia de vinos;spain;spain
domaine chatelain;france;petit chablis
epilogo;spain;la mancha
finca flichman;argentina;mendoza
santa ana;argentina;mendoza
quinta vale do armo;portugal;
bodega atamisque;argentina;tupungato
juan gil;spain;jumilla
quinta do pôpa;portugal;
reyes;us;sierra pelona valley
russian ridge;us;santa cruz mountains
tercero;us;santa ynez valley
windy canyon;us;walla walla valley wa
andrew rich;us;columbia valley wa
blacks station;us;yolo county
boas quintas;portugal;
cave geisse;brazil;
château bourdieu;france;blaye côtes de bordeaux
château de cranne;france;côtes de bordeaux
château de lagarde;france;bordeaux supérieur
château du cèdre;france;vin de liqueur
château godard bellevue;france;francs côtes de bordeaux
château haut rian;france;côtes de bordeaux
château landereau;france;bordeaux supérieur
tenuta cavalier pepe;italy;irpinia
teruzzi  puthod;italy;vernaccia di san gimignano
triennes;france;mediterranée
winters hill;us;dundee hills
highway 12;us;sonoma county
kenwood;us;sonoma county
maquis;chile;
ernest  julio gallo;us;russian river valley
giornata;us;san luis obispo
gotas de mar;spain;rías baixas
goyette;us;sonoma county
hunt cellars;us;monterey county
j vineyards  winery;us;russian river valley
dr volkmar;germany;
vinecol;argentina;mendoza
origin;argentina;mendoza
belle vallée;us;willamette valley
ambiente;argentina;mendoza
airlie;us;willamette valley
bodega vistandes;argentina;famatina valley
2 copas;argentina;mendoza
espuela del gaucho;argentina;mendoza
além;portugal;
bodega carmine granata;argentina;mendoza
cruz alta;argentina;mendoza
ricardo santos;argentina;mendoza
alma del sur;argentina;mendoza
jigar;us;russian river valley
judeka;italy;vittoria
maddalena;us;paso robles
re manfredi;italy;aglianico del vulture
ross andrew;us;columbia valley wa
breathless;us;sonoma county
burnt bridge;us;columbia valley wa
chateau dangludet;france;margaux
château de la cour;france;saint émilion
château fourcas borie;france;listrac médoc
château haut breton larigaudière;france;margaux
château haut gelineau;france;côtes de bourg
château lanbersac;france;puisseguin saint émilion
château lapinesse;france;graves
château le calvaire;france;bordeaux supérieur
château marquis de terme;france;margaux
château saint corbian;france;saint estèphe
domaine de pellehaut;france;vin de pays des côtes de gascogne
las lomas;chile;
tamaya;chile;
château bellevue;france;bordeaux
château denisiane;france;bordeaux
elios;greece;
faiveley;france;bourgogne
feudo di gulfa;italy;etna
feudo maccari;italy;sicilia
feudo principi di butera;italy;sicilia
firriato;italy;sicilia
pope valley winery;us;napa valley
lismore range;australia;south eastern australia
marchesi de gregorio;italy;terre siciliane
hubert meyer;france;alsace
bogle;us;california
cantine rallo;italy;sicilia
castellucci miano;italy;sicilia
tenute girolamo;italy;puglia
a non ah mus;us;santa barbara county
avia;slovenia;
barone sergio;italy;terre siciliane
cantine valenti;italy;etna
celler bàrbara forés;spain;terra alta
château de mirande;france;mâcon villages
château vartely;moldova;
le fraghe;italy;bardolino
macmurray estate vineyards;us;russian river valley
mira;us;napa valley
narbona;uruguay;
newton;us;spring mountain district
offley;portugal;
ouled thaleb;morocco;
podere forte;italy;orcia
speri;italy;valpolicella classico superiore
stolpman;us;ballard canyon
tenute lunelli;italy;montefalco rosso
arrowood;us;knights valley
bel vino;us;california
bitner;us;
torii mor;us;willamette valley
bear creek;us;rogue valley
tualatin estate;us;willamette valley
cooper mountain;us;willamette valley
elk cove;us;willamette valley
principe corsini;italy;chianti classico
abeja;us;walla walla valley wa
ancestry;us;columbia gorge wa
bedell;us;north fork of long island
bodega san pedro regalado;spain;ribera del duero
borgo scopeto;italy;chianti classico
cantalici lantica fornace di ridolfo;italy;chianti classico
castellare di castellina;italy;chianti classico
cedarville vineyard;us;fair play
slingshot;us;napa valley
tablas creek;us;paso robles
tenuta di arceno;italy;chianti classico
terras gauda;spain;rías baixas
toscolo;italy;chianti classico
direder;austria;
fattoria il lago;italy;chianti rufina
fattoria valacchi;italy;chianti
foundry vineyards;us;columbia valley wa
golan heights winery;israel;
ruby hill winery;us;livermore valley
rule of three;argentina;uco valley
sonoma river;us;sonoma county
watermill;us;walla walla valley or
vigin;italy;barbaresco
cooperativa agricola de santo isidro de pegoes;portugal;
domaine laroche;france;chablis
giuseppe gabbas;italy;cannonau di sardegna
vins des personnets;france;viré clessé
wedell cellars;us;sta rita hills
12 linajes;spain;ribera del duero
anier;spain;ribera del duero
ceretto;italy;barolo
psagot;israel;
18401 cellars;us;walla walla valley or
angela estate;us;willamette valley
arista;us;russian river valley
ascension cellars;us;paso robles
aubry;france;champagne
brave  maiden;us;santa ynez valley
cartuxa;portugal;
domaine chenevières;france;chablis
oso libre;us;paso robles
panther creek;us;willamette valley
pascal doquet;france;champagne
mas des bressades;france;costières de nîmes
château du seuil;france;graves
boedecker cellars;us;willamette valley
rimauresq;france;côtes de provence
tjara;us;north fork of long island
urbina;spain;rioja
villa di corlo;italy;lambrusco grasparossa di castelvetro
viña mayor;spain;ribera del duero
le grand noir;france;pays doc
les domaines auriol;france;pays doc
lorenzi estate;us;temecula valley
mar de envero;spain;rías baixas
marqués de la concordia;spain;rioja
martinsancho;spain;rueda
medici ermete;italy;
pascal rollet;france;saint véran
domaine sangouard guyot;france;saint véran
glenora;us;finger lakes
grande river;us;grand valley
herdade de são miguel;portugal;
lyeth;us;california
canyon wind;us;grand valley
casa de vila verde;portugal;
sno road;us;columbia valley or
summit lake;us;howell mountain
tarara;us;virginia
j moreau  fils;france;chablis
compilation;us;rutherford
custard;us;sonoma valley
dão sul;portugal;
domaine michel;france;mâcon villages
baron widmann;italy;alto adige
cantina produttori cortaccia;italy;alto adige
clos du val;us;stags leap district
colene clemens;us;willamette valley
domaine de lidylle;france;roussette de savoie
domaine du haut bourg;france;muscadet côtes de grandlieu
flaherty;chile;
vml;us;russian river valley
ottella;italy;lugana
perescuma;portugal;
pratello;italy;lugana
quinta do monte doiro;portugal;
ravenswood;us;napa valley
doubleback;us;walla walla valley wa
sirius;us;mendocino county
dr loosen  j christopher;us;willamette valley
markus molitor;germany;
acordeón;argentina;mendoza
château darlay;france;côtes du jura
drouet frères;france;sancerre
tiago teles;portugal;
natale verga;italy;chianti classico
marquis de la tour;france;vin mousseux
quinta da maritávora;portugal;
remy pannier;france;vouvray
road i red;us;california
sobon estate;us;california
colle bereto;italy;chianti classico
vignaioli del morellino di scansano;italy;morellino di scansano
milliaire;us;calaveras county
andreola;italy;valdobbiadene prosecco superiore
bouvet ladubay;france;saumur
les frères couillaud;france;muscadet sèvre et maine
nino franco;italy;valdobbiadene prosecco superiore
cave du roi dagobert;france;crémant dalsace
clay pigeon;us;columbia valley or
dancin;us;southern oregon
de toren;south africa;
decroux;us;sta rita hills
domaine fernand engel;france;alsace
henriet bazin;france;champagne
jean de la fontaine;france;champagne
la tordera;italy;valdobbiadene prosecco superiore
lombard et cie;france;champagne
paix sur terre;us;adelaida district
paskett;us;lodi
rioja vega;spain;rioja
roark wine co;us;santa ynez valley
rasa;us;walla walla valley or
tenuta montanello;italy;barolo
valdez;us;alexander valley
vigne surrau;italy;vermentino di gallura
luigi oddero  figli;italy;barbaresco
albert bichot;france;chablis
albino rocca;italy;barbaresco
baxter;us;anderson valley
beauregard;us;ben lomond mountain
bodega renacer;argentina;mendoza
cavalier bartolomeo;italy;barolo
delmas;us;walla walla valley or
john duval wines;australia;barossa
famiglia cielo;italy;veneto
fleur du cap;south africa;
tikal;argentina;mendoza
tussock jumper;south africa;
kitchen sink;us;california
domaine de grange neuve;france;bergerac sec
ironstone;us;lodi
mauricio lorca;argentina;mendoza
ngumu;south africa;
bodega las cañitas;argentina;argentina
valdo;italy;valdobbiadene superiore di cartizze
zorzal;argentina;tupungato
adega de cantanhede;portugal;
angeline;us;mendocino county
indaba;south africa;
hafner;austria;
stone paddock;new zealand;
blue cove;south africa;
cairnbrae;new zealand;
fairvalley;south africa;
silver lake;us;rattlesnake hills
bollinger;france;champagne
château ducru beaucaillou;france;saint julien
domaine de chevalier;france;pessac léognan
le dôme;france;saint émilion
numanthia;spain;toro
larmandier bernier;france;champagne
château bélair monange;france;saint émilion
château haut bailly;france;pessac léognan
vieux château mazerat;france;saint émilion
les astéries;france;saint émilion
tarlant;france;champagne
pascal bouchard;france;chablis
sleight of hand;us;columbia valley wa
domaine heresztyn;france;morey saint denis
domaine vincent girardin;france;volnay
dg viticultors;spain;spain
inniskillin;canada;niagara peninsula
montefrasco;italy;montepulciano dabruzzo
château bianca;us;willamette valley
quinta do romeu;portugal;
sonoma collection;us;sonoma county
meeker;us;dry creek valley
altos de cristimil;spain;rías baixas
marques escriba;spain;jumilla
bodegas lozano;spain;spain
pigro;italy;montepulciano dabruzzo
quara;argentina;cafayate
roncão;portugal;
haarth;argentina;argentina
hacienda del carche;spain;cava
josep grau viticultor;spain;montsant
via revolucionaria;argentina;mendoza
altos de torona;spain;rías baixas
domaine patrick javillier;france;bourgogne
finca vieja;spain;la mancha
lupé cholet;france;bourgogne
domaine l chatelain;france;chablis
andré guichot;france;bourgogne
gladium;spain;la mancha
bodegas navarro lópez;spain;valdepeñas
jaume serra;spain;cava
domaine verret et fils;france;chablis
middle sister;us;california
thirsty owl wine company;us;finger lakes
flying leap;us;sonoita
barnstormer;us;seneca lake
falernia;chile;
viña la fortuna;chile;
adirondack winery;us;new york
bowers harbor;us;old mission peninsula
intipalka;peru;
lobster reef;new zealand;
messina hof;us;texas
millaman;chile;
olivier leflaive;france;corton charlemagne
xavier monnot;france;meursault
fielding hills;us;wahluke slope
royal tokaji;hungary;
sheridan vineyard;us;yakima valley
the foundry;south africa;
guilbaud frères;france;muscadet sèvre et maine
domaine du clos du fief;france;juliénas
domaine philippe delesvaux;france;anjou
valle frio;chile;
mount nelson;new zealand;
seven terraces;new zealand;
shark trust;south africa;
season;us;southern oregon
altavins;spain;terra alta
husch;us;anderson valley
cava aragon;mexico;
pegasus bay;new zealand;
sticks;australia;yarra valley
te awa;new zealand;
maison jessiaume;france;clos de vougeot
force majeure;us;red mountain
sanguis;us;santa barbara county
sula;india;
barons;us;columbia valley wa
côtes de ciel;us;red mountain
double canyon;us;horse heaven hills
gaja;italy;langhe
quintessa;us;rutherford
viberti;italy;barolo
diamond creek;us;napa valley
red car;us;fort ross seaview
rené muré;france;alsace
sottimano;italy;barbaresco
wiston estate winery;england;
mt brave;us;mount veeder
onesta;us;lodi
palmina;us;santa barbara county
brovia;italy;barbera dalba
casa donoso;chile;
domaine de la petite cassagne;france;costières de nîmes
duemani;italy;costa toscana
lawrelin;us;columbia valley wa
nacido del quórum;spain;jumilla
domaine chandon de briailles;france;pernand vergelesses
gorman;us;red mountain
domaine henri gouges;france;nuits st georges
domaine parent;france;pommard
domaine de courcel;france;pommard
de loach;us;marin county
la collina dei lecci;italy;brunello di montalcino
schwarzböck;austria;
zaha;argentina;mendoza
hubert weber;argentina;mendoza
canalicchio franco pacenti;italy;brunello di montalcino
château andron blanquet;france;saint estèphe
château charmail;france;haut médoc
château grand bertin de saint clair;france;médoc
château la patache;france;pomerol
château lestage simon;france;haut médoc
louis métaireau;france;muscadet sèvre et maine
chamonix;south africa;
hamilton russell;south africa;
clos triguedina;france;vin de pays du comté tolosan
pago de los capellanes;spain;ribera del duero
phelps creek;us;columbia gorge or
producteurs plaimont;france;madiran
black rock;south africa;
bodegas vidal soblechero;spain;rueda
3 horse ranch vineyards;us;
baron de ley;spain;rioja
bodega otto bestué;spain;somontano
château baracan;france;cadillac côtes de bordeaux
château carignan;france;cadillac côtes de bordeaux
château suau;france;cadillac côtes de bordeaux
sawtooth;us;
londer;us;anderson valley
montevannos;spain;ribera del duero
pannier;france;champagne
avanthia;spain;valdeorras
viñas del cenit;spain;tierra del viños de zamora
yann alexandre;france;champagne
anthony road;us;finger lakes
château manon la lagune;france;blaye côtes de bordeaux
baron albert;france;champagne
bellenda;italy;valdobbiadene prosecco superiore
bortolomiol;italy;valdobbiadene prosecco superiore
bressia;argentina;mendoza
terre di san venanzio fortunato;italy;valdobbiadene prosecco superiore
canard duchêne;france;champagne
cave de turckheim;france;crémant dalsace
cave spring;canada;niagara escarpment
cinnabar;us;contra costa county
colomé;argentina;salta
dr leimbrock;germany;
emile leclère;france;champagne
fuchs und hase;austria;
guerrieri rizzardi;italy;soave classico
inurrieta;spain;navarra
le colture;italy;valdobbiadene prosecco superiore
legras  haas;france;champagne
st innocent;us;willamette valley
studert prüm;germany;
adami;italy;valdobbiadene superiore di cartizze
cantina cortaccia;italy;alto adige
caronesca;italy;collio
castello di buttrio;italy;friuli colli orientali
mogollon;argentina;uco valley
von der leyen;germany;
griffin creek;us;rogue valley
dorigo;italy;friuli colli orientali
erste neue;italy;alto adige
fiegl;italy;collio
fruscalzo;italy;collio
gigante;italy;friuli colli orientali
gooseneck;us;oregon
domaine le billoud;argentina;mendoza
meran;italy;alto adige
nathaniel rose;us;lake michigan shore
petrucco;italy;friuli colli orientali
pflücken;germany;
kris;italy;delle venezie
domaine de lecu;france;muscadet sèvre et maine
flowers;us;sonoma coast
au bon climat;us;santa maria valley
bonnet huteau;france;muscadet sèvre et maine
brewer clifton;us;sta rita hills
center of effort;us;edna valley
merry edwards;us;russian river valley
ad vivum;us;yountville
russiz superiore;italy;collio
senses;us;sonoma coast
herdade das servas;portugal;
château de bel air;france;lalande de pomerol
mitchelton;australia;central victoria
müller catoir;germany;
pfeffingen;germany;
jl wolf;germany;
ökonomierat rebholz;germany;
château franc cardinal;france;bordeaux côtes de francs
château haut beyzac;france;haut médoc
séamus wines;us;russian river valley
tenuta casaletti;italy;valpolicella
uphill vineyards;us;amador county
veramar;us;shenandoah valley
viñedo de los vientos;uruguay;
vini;bulgaria;
adega vila real;portugal;
agustinos;chile;
arbor bench vineyards;us;dry creek valley
château gardut haut cluzeau;france;blaye côtes de bordeaux
château la fleur ribeyrolles;france;entre deux mers
delibori;italy;bardolino classico
feist;us;california
karah estate;us;sonoma coast
brander;us;santa ynez valley
haka by labyrinth;us;paso robles
krutz;us;napa valley
batič;slovenia;
borgognot;italy;barolo
ca del baio;italy;langhe
charles sparr;france;alsace
château la coste;france;coteaux daix en provence
château lagrave;france;saint émilion
château le moulin dulysse;france;haut médoc
domaine gérard neumeyer;france;alsace
château terrasson;france;castillon côtes de bordeaux
cleto chiarli;italy;lambrusco grasparossa di castelvetro
château de palayson;france;var
château des matards;france;blaye côtes de bordeaux
hugel;france;alsace
valli;new zealand;
craggy range;new zealand;
brittan vineyards;us;willamette valley
château coutet;france;saint émilion
teso la monja;spain;toro
bernier;france;val de loire
campelo;portugal;
ricordi;argentina;mendoza
halleck;us;russian river valley
henry estate;us;umpqua valley
ramspur;us;carneros
aljibes;spain;vino de la tierra de castilla
clément bosquet;france;cahors
domaine darton;france;côtes de gascogne
castro martin;spain;rías baixas
vieira de plata;spain;rías baixas
château laulerie;france;bergerac sec
egeo;spain;rueda
costa di bussia;italy;barbera dalba
fowles wine;australia;victoria
gimenez riili;argentina;la rioja
achaval ferrer;argentina;mendoza
louis darmont;france;bourgogne
giant steps;australia;yarra valley
bodega don bosco;argentina;maipú
cockburns;portugal;
cyatho;spain;rueda
de faveri;italy;valdobbiadene prosecco superiore
primarius;us;oregon
simonsig;south africa;
