winery,country,region_1
La Chiripada,US,New Mexico
Howling Moon,US,Lodi
La Storia,US,Alexander Valley
Luigi Bosca,Argentina,Luján de Cuyo
Pahrump Valley Winery,US,Nevada
Three Fox,US,Virginia
Castello di Borghese,US,North Fork of Long Island
Doña Paula,Argentina,Mendoza
Gilbert Cellars,US,Wahluke Slope
Glenora,US,Finger Lakes
Woolundry Rd,Australia,South Australia
Anam Cara,US,Willamette Valley
Archery Summit,US,Dundee Hills
Cartlidge & Browne,US,California
Ceravolo,Australia,Adelaide Plains
Leeuwin Estate,Australia,Margaret River
Parkers Estate,US,Sonoma County
Pearson Vineyards,Australia,Clare Valley
Campos Góticos,Spain,Ribera del Duero
Frostwatch,US,Bennett Valley
Vinos Sanz,Spain,Rueda
Red Mud,Australia,South Australia
Castoro Cellars,US,Paso Robles
French Hill,US,Sierra Foothills
Vitis Terrarum,Spain,Vino de la Tierra de Castilla
Kaleidos,US,Paso Robles
Lovingston,US,Monticello
Sonoma Crest,US,Sonoma County
Château Haut Cabut,France,Blaye Côtes de Bordeaux
Château le Pey,France,Médoc
Château Montlandrie,France,Castillon Côtes de Bordeaux
Clos Puy Arnaud,France,Castillon Côtes de Bordeaux
Closerie du Bailli,France,Blaye Côtes de Bordeaux
Domaine François Schmitt,France,Alsace
Penley Estate,Australia,Coonawarra
Miro,US,Russian River Valley
Murrieta's Well,US,Livermore Valley
Obsidian Ridge,US,Red Hills Lake County
Paltrinieri,Italy,Lambrusco di Modena
Robert Biale,US,Napa Valley
Spell,US,Russian River Valley
Gruber Röschitz,Austria,NA
Jayson,US,North Coast
Joseph Carr,US,Paso Robles
La Prevostura,Italy,Lessona
Lallier,France,Champagne
Le Marchesine,Italy,Franciacorta
Dr. Heidemanns-Bergweiler,Germany,NA
Dubl,Italy,Vino Spumante
Ferrer Bobet,Spain,Priorat
Granbazán,Spain,Rías Baixas
Vallana,Italy,Boca
Krupp Brothers,US,Napa Valley
Pepper Bridge,US,Walla Walla Valley (WA)
Forgeron,US,Columbia Valley (WA)
Sterling,US,Napa Valley
Domaine Cazes,France,Rivesaltes
Capannelle,Italy,Chianti Classico
Pictor,Spain,Toro
André Blanck et ses Fils,France,Alsace
Charles Ellner,France,Champagne
Scheiblhofer,Austria,NA
Spring Valley Vineyard,US,Walla Walla Valley (WA)
MacPhail,US,Sonoma Coast
DeLille,US,Columbia Valley (WA)
Alidis,Spain,Ribera del Duero
Turley,US,Napa Valley
Whitehall Lane,US,Napa Valley
Coteaux da Murta,Portugal,NA
Fillaboa,Spain,Rías Baixas
Jasci & Marchesani,Italy,Montepulciano d'Abruzzo
La Valentina,Italy,Montepulciano d'Abruzzo
Lavradores de Feitoria,Portugal,NA
Manzwine,Portugal,NA
Mas Pere,Spain,Cava
Nine Hats,US,Columbia Valley (WA)
Rôtie Cellars,US,Washington
Nino Negri,Italy,Valtellina Superiore
Pflüger,Germany,NA
Picket Fence,US,Sonoma County
Taken Wine Co.,US,Napa Valley
Terra d'Oro,US,Amador County
Yohan Lardy,France,Moulin-à-Vent
Argyle,US,Eola-Amity Hills
Flora Springs,US,Rutherford
Maison Bleue,US,Yakima Valley
Chanson Père et Fils,France,Charmes-Chambertin
Domaine de la Terre Rouge,US,Sierra Foothills
Tyler,US,Sta. Rita Hills
Trefethen,US,Napa Valley
Lineage,US,Livermore Valley
McCrea,US,Yakima Valley
Corte Sant' Alda,Italy,Valpolicella Superiore
Corteforte,Italy,Valpolicella Classico Superiore Ripasso
Gamba,Italy,Valpolicella Classico Superiore Ripasso
Brigaldara,Italy,Valpolicella Classico Superiore Ripasso
Cadence,US,Red Mountain
Latium di Morini,Italy,Amarone della Valpolicella
Luigi Righetti,Italy,Amarone della Valpolicella Classico
Marquee,Australia,Yarra Valley
Miguel Torres,Chile,NA
Mittnacht Frères,France,Alsace
Monte del Frá,Italy,Amarone della Valpolicella Classico
Musella,Italy,Amarone della Valpolicella
Paso a Paso,Spain,La Mancha
Penfolds,Australia,Coonawarra
Ridge,US,Santa Cruz Mountains
Corte San Benedetto,Italy,Amarone della Valpolicella Classico
Domìni Veneti,Italy,Valpolicella Classico Superiore
Falezza,Italy,Amarone della Valpolicella
Château Pey la Tour,France,Bordeaux
Clayhouse,US,Paso Robles
Dilecta,US,Paso Robles
Vinemark,US,Napa Valley
Recuerdo,Argentina,Uco Valley
Adanti,Italy,Montefalco Rosso
Château Haut Nadeau,France,Bordeaux Supérieur
un4seen,US,Lodi
Guenoc,US,California
Bodegas Tobía,Spain,Rioja
Château Gréteau Médeville,France,Bordeaux Supérieur
Wildberry Estate,Australia,Margaret River
Salentein,Argentina,Uco Valley
Sattlerhof,Austria,NA
Summerer,Austria,NA
Bouchard Aîné & Fils,France,Beaune
Tomero,Argentina,Salta
Trivento,Argentina,Mendoza
Schug,US,Sonoma Valley
Tagaris,US,Wahluke Slope
Beaulieu Vineyard,US,California
Stoneburn,New Zealand,NA
Verum,Argentina,Alto Valle del Río Negro
Viña Alicia,Argentina,Luján de Cuyo
Bott Frères,France,Alsace
Ca' dei Zago,Italy,Prosecco
Galaxy,US,Sonoma-Napa
Gardel,Argentina,Mendoza
Giavi,Italy,Conegliano Valdobbiadene Prosecco Superiore
Anna Spinato,Italy,Prosecco
Bianca Vigna,Italy,Conegliano Valdobbiadene Prosecco Superiore
Canella,Italy,Conegliano Valdobbiadene Prosecco Superiore
Caposaldo,Italy,Prosecco
Coho,US,Napa Valley
Domaine Ostertag,France,Alsace
Domaine Rieflé,France,Alsace
Donati,US,Paicines
Andeluna,Argentina,Mendoza
Hess Collection,US,Mount Veeder
Il Borro,Italy,Toscana
Lackner Tinnacher,Austria,NA
Lauren Ashton Cellars,US,Columbia Valley (WA)
Now Presenting...,US,Paso Robles
On Point,US,North Coast
Jean-Luc Colombo,France,Condrieu
San Carlo,Italy,Brunello di Montalcino
Stift Klosterneuburg,Austria,NA
Terroirs et Talents,France,Saint-Amour
Tua Rita,Italy,Toscana
Unger,Austria,NA
Vino La Monarcha,US,Wahluke Slope
Whiplash,US,California
Cerbaia,Italy,Brunello di Montalcino
Bodegas Valdemar,Spain,Rioja
Bula,Spain,Montsant
Bunchgrass,US,Walla Walla Valley (WA)
Can Blau,Spain,Montsant
Carol Shelton,US,Cucamonga Valley
Castello di Montegiove,Italy,Umbria
Château de la Croix,France,Médoc
Château Dupeyrat Plouget,France,Côtes de Bourg
Chelsea Goldschmidt,US,Dry Creek Valley
Pope Valley Winery,US,Napa Valley
Real Sitio de Ventosilla,Spain,Ribera del Duero
Stryker Sonoma,US,Alexander Valley
The Eyrie Vineyards,US,Dundee Hills
The Farm Winery,US,Paso Robles
Tre Monti,Italy,Sangiovese di Romagna Superiore
Trueheart,US,Sonoma Valley
Val do Sosego,Spain,Rías Baixas
Johanneshof Reinisch,Austria,NA
Lynmar,US,Russian River Valley
Matetic,Chile,NA
Oliver Conti,Spain,Empordà
Parcel 41,US,Napa Valley
Drei Donà Tenuta La Palazza,Italy,Sangiovese di Romagna Superiore
401K,US,California
Cana's Feast,US,Columbia Valley (WA)
Cantine Leonardo Da Vinci,Italy,Chianti
Hill Family Estate,US,Napa Valley
James Wyatt,US,Yakima Valley
Liebart-Régnier,France,Champagne
Vinum,US,California
Viticoltori Senesi Aretini,Italy,Chianti
Wise Villa,US,Placer County
Maison Bouey,France,Médoc
Mannucci Droandi,Italy,Chianti Classico
Travignoli,Italy,Chianti Rufina
Hanaiali'i,US,Napa Valley
Lagana,US,Walla Walla Valley (WA)
Matsu,Spain,Toro
Nadler,Austria,NA
Oyster Bay,New Zealand,NA
Piot-Sévillano,France,Champagne
Quai de la Lune,France,Bordeaux Rosé
Cennatoio,Italy,Chianti Classico
Château Buisson-Redon,France,Bordeaux Blanc
Clos de Gamot,France,Cahors
Companhia das Quintas,Portugal,NA
Tenuta delle Terre Nere,Italy,Etna
Turkey Flat,Australia,Barossa Valley
J. Wilkes,US,Santa Barbara County
La Posta,Argentina,Mendoza
Melipal,Argentina,Mendoza
Morrison Lane,US,Walla Walla Valley (WA)
Fazio,Italy,Sicilia
Gemtree,Australia,McLaren Vale
Adamant Cellars,US,Walla Walla Valley (WA)
Alberto Longo,Italy,Puglia
Godwin,US,Russian River Valley
Hagafen,US,Lodi
Herdade da Malhadinha Nova,Portugal,NA
Bucklin,US,Sonoma Valley
Corley,US,Oak Knoll District
El Nido,Spain,Jumilla
Backsberg,South Africa,NA
Conte Collalto,Italy,Prosecco di Conegliano e Valdobbiadene
Arbios,US,Alexander Valley
Adami,Italy,Prosecco di Valdobbiadene
Alentex,Portugal,NA
Bortolomiol,Italy,Prosecco di Valdobbiadene
Castle,US,Carneros
Ortman Family,US,Sta. Rita Hills
Tenuta di Vignole,Italy,Chianti Classico
Valserrano,Spain,Rioja
Mt. Beautiful,New Zealand,NA
Poggio Nardone,Italy,Morellino di Scansano
Château Ramafort,France,Médoc
Drew,US,Anderson Valley
Giuliano Tiberi,Italy,Toscana
Greater Purpose,US,Dry Creek Valley
Reina de Castilla,Spain,Rueda
Rocca delle Macìe,Italy,Chianti Classico
Vino Vargas,US,Central Coast
Demessey,France,Mâcon-Chardonnay
Four Degrees of Riesling,US,Seneca Lake
Armosa,Italy,Sicilia
Pierre André,France,Ladoix
Suvla,Turkey,NA
Swedish Hill,US,Finger Lakes
Coto de Hayas,Spain,Campo de Borja
Jean-Marie Challand,France,Viré-Clessé
Domaine Sophie Cinier,France,Mâcon-Fuissé
Fazeli Cellars,US,Temecula Valley
Joseph Burrier,France,Saint-Véran
King's Garden Vineyards,US,Finger Lakes
Laird,US,Napa Valley
Schloss Vollrads,Germany,NA
Sojourn,US,Oakville
Stag's Leap Wine Cellars,US,Napa Valley
Thorn Clarke,Australia,Eden Valley
Aratás,US,Amador County
Tongue Dancer,US,Sonoma Coast
Uvaggio,US,Lodi
William Harrison,US,Carneros
Avennia,US,Yakima Valley
Cadaretta,US,Columbia Valley (WA)
Meyer Family Cellars,US,Yorkville Highlands
Ovum,US,Eola-Amity Hills
Perelada,Spain,Empordà
Proper,US,Walla Walla Valley (WA)
Quinta da Zaralhôa,Portugal,NA
Ramos-Pinto,Portugal,NA
Wyncroft,US,Lake Michigan Shore
Vicente Gandia,Spain,Spain
Gustafson Family,US,Dry Creek Valley
JAQK Cellars,US,Sonoma Coast
Gracianna,US,Russian River Valley
Angulo Innocenti,Argentina,La Consulta
Cable Car,US,Lodi
Michael-Scott,US,Napa County-Sonoma County
Luis Segundo Correas,Argentina,Mendoza
Parras Vinhos,Portugal,NA
Quinta do Casal Monteiro,Portugal,NA
Three Fires,US,Lake Michigan Shore
Verterra,US,Leelanau Peninsula
Finca Salazar,Spain,Vino de la Tierra de Castilla
Pazo de Barrantes,Spain,Rías Baixas
Cooperativa Reguengos de Monsaraz,Portugal,NA
Armanino Family Cellars,US,Napa Valley
Lechthaler,Italy,Trentino
Coast,US,California
Pat Paulsen Vineyards,US,Solano County
Mossback,US,Russian River Valley
Peachy Canyon,US,Paso Robles
Tricky Rabbit,Chile,NA
Bradford Mountain,US,Dry Creek Valley
Domaine de la Pepière,France,Muscadet Sèvre et Maine
Quinta da Rede,Portugal,NA
Reustle,US,Umpqua Valley
Chopo,Spain,Jumilla
MooBuzz,US,Central Coast
Palma Real,Spain,Rueda
Proulx,US,Paso Robles
Quinta Dona Matilde,Portugal,NA
Quinta dos Poços,Portugal,NA
Roco,US,Willamette Valley
Tenuta Duecorti,Italy,Barolo
Podere ai Valloni,Italy,Colline Novaresi
Wirra Wirra,Australia,Adelaide
Greystone Cellars,US,California
Hill-Smith Estate,Australia,Adelaide Hills
Cadus,Argentina,Agrelo
Casto Oaks,US,Sierra Foothills
Riposte,Australia,Adelaide Hills
Spann Vineyards,US,California
Siduri,US,Chehalem Mountains
Thema,Greece,NA
Moletto,Italy,Veneto Orientale
Domaine de Gournier,France,Vin de Pays des Cévennes
Fratelli Berlucchi,Italy,Franciacorta
Hahn Estates,US,Central Coast
Hunt Cellars,US,Paso Robles
Kings Mountain,US,Santa Cruz Mountains
Vinchio-Vaglio Serra,Italy,Barbaresco
Marqués de Vargas,Spain,Rioja
Marrenon,France,Luberon
Bishop Creek Cellars,US,Willamette Valley
Château Couhins-Lurton,France,Pessac-Léognan
Château Fonréaud,France,Listrac-Médoc
Château Lynch-Moussas,France,Pauillac
Jean Albrecht,France,Alsace
La Cave des Vignerons de Pfaffenheim,France,Alsace
Lakewood,US,Finger Lakes
Left Coast Cellars,US,Willamette Valley
Ravines,US,Finger Lakes
Naggiar,US,Sierra Foothills
Novaia,Italy,Valpolicella Classico Superiore Ripasso
Sparkling Pointe,US,North Fork of Long Island
Vaona,Italy,Amarone della Valpolicella Classico
Emile Beyer,France,Alsace
Giuseppe Lonardi,Italy,Amarone della Valpolicella Classico
Korbel,US,California
Lété-Vautrain,France,Champagne
Lone Birch,US,Yakima Valley
Ocelli,US,Columbia Valley (WA)
One Iron,US,Napa Valley
Owl Ridge,US,Alexander Valley
Eola Hills,US,Oregon
Fattoria La Vialla,Italy,Vernaccia di San Gimignano
Ferrocinto,Italy,Calabria
Gersing,US,Chehalem Mountains
Hunnicutt,US,Napa Valley
Baron-Fuenté,France,Champagne
Bodegas Carballal,Spain,Rías Baixas
Brimoncourt,France,Champagne
Casa Nuestra,US,St. Helena
Cass,US,Paso Robles
Celli,Italy,Romagna
D'Aione,Italy,Taurasi
D'Angelo,Italy,Aglianico del Vulture
Schlink Haus,Germany,NA
Schloss Gobelsburg,Austria,NA
Vasse Felix,Australia,Margaret River
Glatzer,Austria,NA
Château Lamothe-Cissac,France,Haut-Médoc
Giuseppe Rinaldi,Italy,Barolo
Nada Giuseppe,Italy,Barbaresco
Negro Angelo e Figli,Italy,Barbaresco
Benovia,US,Russian River Valley
Guido Porro,Italy,Barolo
Joseph Swan Vineyards,US,Russian River Valley
Manfred Tement,Austria,NA
Convergence Zone,US,Columbia Valley (WA)
Château de Sancerre,France,Sancerre
Colosi,Italy,Terre Siciliane
Curto,Italy,Eloro
Delaforce,Portugal,NA
St. Christopher,Germany,NA
Walnut City WineWorks,US,Willamette Valley
Lamadrid,Argentina,Agrelo
Domaine Philippe Gilbert,France,Menetou-Salon
Domaines Vinsmoselle,Luxembourg,NA
Falkner,US,Temecula Valley
Humberto Canale,Argentina,Patagonia
Au Jus,US,Monterey County
Authentique,US,Eola-Amity Hills
Bastgen,Germany,NA
Vignobles Jeanjean,France,Faugères
Château le Pape,France,Pessac-Léognan
Château Tour Rozier,France,Fronsac
Coquerel Family Wine Estates,US,Calistoga
De Bortoli,Australia,South Eastern Australia
Domaine Ste. Michelle,US,Columbia Valley (WA)
Jamesport,US,North Fork of Long Island
La Croix de Renaud,France,Bordeaux
Le Mas de Bertrand,France,Coteaux du Languedoc
Mulini di Segalari,Italy,Bolgheri
Riverbench,US,Santa Maria Valley
Rock Hollow,US,Santa Barbara County
Viu Manent,Chile,NA
Zina Hyde Cunningham,US,Russian River Valley
Sembro,Spain,Ribera del Duero
Sieur d'Arques,France,Crémant de Limoux
Terra d'Alter,Portugal,NA
Viña Chocalan,Chile,NA
Anatomy,US,Napa Valley
Waterstone,US,Napa Valley
Willowbrook,US,Sonoma County
Hesperian,US,Napa Valley
Stickybeak,US,Sonoma Coast
3Fools,US,Oregon
Amayna,Chile,NA
Arauco,Chile,NA
YN,US,California
Cousiño-Macul,Chile,NA
Cerro Prieto,US,Paso Robles
Oveja Negra,Chile,NA
Viniverde,Portugal,NA
Cuevas del Sur,Chile,NA
Château Pontet-Canet,France,Pauillac
Château Lafite Rothschild,France,Pauillac
Château Pape Clément,France,Pessac-Léognan
Lamborghini,Italy,Umbria
Emmerich Knoll,Austria,NA
Rudi Pichler,Austria,NA
Forefathers,US,Alexander Valley
Andrew Will,US,Red Mountain
Felipe Rutini,Argentina,Mendoza
Prix,US,Napa Valley
Soos Creek,US,Horse Heaven Hills
Parry Cellars,US,St. Helena
Smith-Madrone,US,Spring Mountain District
Rancho Sisquoc,US,Santa Barbara County
Righteous,US,Walla Walla Valley (WA)
Crossbarn by Paul Hobbs,US,Sonoma Coast
Espiritu de Chile,Chile,NA
Frenzy,New Zealand,NA
181,US,Lodi
Phantom Rivers,US,Central Coast
Provence Rosé,France,Côtes de Provence
Redtree,US,California
Shiloh Road,US,North Coast
Longevity,US,Lodi
Lucky Star,US,California
La Vierge,South Africa,NA
Luis Felipe Edwards,Chile,NA
MAN Vintners,South Africa,NA
Nederburg,South Africa,NA
Robertson Winery,South Africa,NA
Seresin,New Zealand,NA
Chasseur,US,Sonoma Coast
Ruinart,France,Champagne
Kopke,Portugal,NA
Albert Morot,France,Beaune
Alto Moncayo,Spain,Campo de Borja
Ca' del Bosco,Italy,Franciacorta
Morgan,US,Santa Lucia Highlands
Pittacum,Spain,Bierzo
Tendil & Lombardi,France,Champagne
Veuve Doussot,France,Champagne
Villa Erbice,Italy,Amarone della Valpolicella
Clos de Chacras,Argentina,Mendoza
Fog Crest,US,Russian River Valley
Evening Land,US,Eola-Amity Hills
Gancedo,Spain,Bierzo
Septima,Argentina,Mendoza
Curtis,US,Santa Barbara County
Grafen Neipperg,Germany,NA
Huber,Germany,NA
Zaca Mesa,US,Santa Ynez Valley
Pazo Serantellos,Spain,Rías Baixas
Pondera,US,Columbia Valley (WA)
Royal Oporto,Portugal,NA
Château Barde Haut,France,Saint-Émilion
Château Belgrave,France,Haut-Médoc
Château Haut Bessac,France,Bordeaux Supérieur
Castelgiocondo,Italy,Rosso di Montalcino
Castillo Rocio,Spain,Cava
Château Gaillard,France,Beaujolais-Villages
Château Laurou,France,Fronton
Cuna del Sol,Chile,NA
HandCraft,US,California
Jadix,France,Picpoul de Pinet
Joseph Cattin,France,Alsace
Domaine de Ménard,France,Côtes de Gascogne
Domaine Sarragousse,France,Coteaux d'Aix-en-Provence
Dominio de la Vega,Spain,Cava
Estate Biblia Chora,Greece,NA
Fattoria dei Barbi,Italy,Rosso di Montalcino
Villa al Cortile,Italy,Rosso di Montalcino
Viña Requingua,Chile,NA
Poggio di Sotto,Italy,Rosso di Montalcino
Pomar Junction,US,Paso Robles
Purple Heart Wines,US,Napa Valley
Domino,US,California
Château Nozières,France,Cahors
Domaine de Leyre-Loup,France,Morgon
Domaine Delsol,France,Picpoul de Pinet
Domaine Fritz Schmitt,France,Alsace
Elqui Wines,Chile,NA
Fattoria La Lecciaia,Italy,Rosso di Montalcino
Kunde,US,Sonoma County
Don Miguel Gascón,Argentina,Mendoza
Grove Mill,New Zealand,NA
Jones of Washington,US,Ancient Lakes
Leonard Oakes,US,New York
Mustilli,Italy,Sannio
Nativ,Italy,Greco di Tufo
Nickel & Nickel,US,Carneros
Pollak,US,Monticello
Roadhouse Winery,US,Russian River Valley
Rutherford Hill,US,Napa Valley
Taverna,Italy,Basilicata
Molliver Vineyards,US,Virginia
Roanoke Vineyards,US,North Fork of Long Island
Bellwether,US,Finger Lakes
Wairau River,New Zealand,NA
Wild Meadows,US,Columbia Valley (WA)
Henri Schoenheitz,France,Alsace
Cantina del Barone,Italy,Fiano di Avellino
Cantine Gulino,Italy,Terre Siciliane
Sheldon,US,Sonoma Valley
Sol Rouge,US,Red Hills Lake County
Szigeti,Austria,NA
Tre Nova,US,Columbia Valley (WA)
Benmarl,US,Seneca Lake
Il Grillesino,Italy,Morellino di Scansano
La Braccesca,Italy,Rosso di Montepulciano
La Poderina,Italy,Rosso di Montalcino
Máscara de Feugo,Chile,NA
Mercer Canyons,US,Yakima Valley
Mont-Ferrant,Spain,Cava
Noble Vines,US,Monterey
Avalon,US,California
Cedar View Winery,US,California
Château de Corcelles,France,Beaujolais-Villages
Quinta das Bandeiras,Portugal,NA
Quinta do Pinto,Portugal,NA
Pujanza,Spain,Rioja
Roar,US,Santa Lucia Highlands
Domaine des Baumard,France,Coteaux du Layon
Paul Jaboulet Aîné,France,Cornas
Villa S. Anna,Italy,Vino Nobile di Montepulciano
Louis Sipp,France,Alsace
San Giusto a Rentennano,Italy,Chianti Classico
Black Coyote,US,Napa Valley
Domaine Ehrhart,France,Alsace
Domaine de Fondrèche,France,Ventoux
Antico Colle,Italy,Vino Nobile di Montepulciano
Wine & Soul,Portugal,NA
Istine,Italy,Chianti Classico
Joseph Fritsch,France,Alsace
Retro,US,Napa Valley
Bibbiano,Italy,Chianti Classico
Castellinuzza e Piuca,Italy,Chianti Classico
Domaine Schoffit,France,Alsace
Gary Farrell,US,Russian River Valley
Ocone,Italy,Taburno
Round Pond,US,Rutherford
Bernard Baudry,France,Chinon
Charles Joguet,France,Chinon
Château d'Epire,France,Savennières
Dark Matter,US,Howell Mountain
Domus Aurea,Chile,NA
Tudal,US,Napa Valley
Viader,US,Napa Valley
Zotovich Cellars,US,Sta. Rita Hills
Domaine Huët,France,Vouvray
Donelan,US,Russian River Valley
Beckmen,US,Santa Ynez Valley
Viento,US,Columbia Gorge (OR)
Wine Spots,US,Napa Valley
Elyse,US,Howell Mountain
Francis Tannahill,US,Oregon
Masciarelli,Italy,Trebbiano d'Abruzzo
Castle Rock,US,Russian River Valley
Château Moncontour,France,Crémant de Loire
Derbes,US,Carneros
Frog's Leap,US,Rutherford
Hellbent,Australia,South Australia
Sesti,Italy,Rosso di Montalcino
Las Colinas Del Ebro,Spain,Terra Alta
Anciano,Spain,Valdepeñas
Avery Lane,US,Washington
Beltane Ranch,US,Sonoma Valley
Bodegas Docampo,Spain,Ribeiro
Domaine Henry Pellé,France,Menetou-Salon
El Burro,Spain,Cariñena
Enkidu,US,Napa Valley
Valle de Salinas,Spain,Yecla
Villa San Juliette,US,Paso Robles
Plaisance Ranch,US,Applegate Valley
Poggiobello,Italy,Friuli Colli Orientali
Previous,US,Sonoma County
Primosic,Italy,Collio
Quinta da Romeira,Portugal,NA
Roche,US,Carneros
Ronco dei Tassi,Italy,Collio
Sauvion,France,Crémant de Loire
La Rajade,Italy,Collio
La Tunella,Italy,Friuli Colli Orientali
Louis de Grenelle,France,Crémant de Loire
Meadowcroft,US,Carneros
Mignanelli,US,Santa Cruz Mountains
Monteviejo,Argentina,Uco Valley
Nisia,Spain,Rueda
Sarah's Vineyard,US,Santa Clara Valley
Tenuta di Angoris,Italy,Collio
Don Cristobal 1492,Argentina,Mendoza
Finca El Origen,Argentina,Mendoza
Glen Ellen,US,California
Manzanita Creek,US,Dry Creek Valley
Montepio,Argentina,San Juan
Notro,Argentina,Mendoza
Ochoa,Spain,Navarra
Starmont,US,Napa Valley
Brophy Clark,US,Santa Ynez Valley
Caligiore,Argentina,Mendoza
Cedar Mountain,US,Livermore Valley
Concannon,US,Central Coast
Solar de Urbezo,Spain,Cariñena
Yellow Tail,Australia,South Eastern Australia
Adega Cooperativa Ponte de Barca,Portugal,NA
Pasaje Alto,Argentina,Mendoza
Figaro,Spain,Calatayud
Fattoria di Casalbosco,Italy,Vin Santo del Chianti
Jarvis,US,Napa Valley
Kingston Family,Chile,NA
Loimer,Austria,NA
M by Michael Mondavi,US,Napa Valley
Margerum,US,Santa Barbara County
Pedroncelli,US,Dry Creek Valley
Pietro Beconcini,Italy,Vin Santo del Chianti
Boekenhoutskloof,South Africa,NA
Château Cambon la Pelouse,France,Haut-Médoc
Château Lilian Ladouys,France,Saint-Estèphe
Corison,US,St. Helena
Nicolis,Italy,Recioto della Valpolicella Classico
Covey Run,US,Columbia Valley (WA)
Bearboat,US,Russian River Valley
Spy Valley,New Zealand,NA
Jurtschitsch,Austria,NA
Valdinera,Italy,Barbera d'Alba Superiore
Renato Ratti,Italy,Monferrato
Pertinace,Italy,Dolcetto d'Alba
Seia,US,Horse Heaven Hills
Kindred,US,Russian River Valley
Maddalena,US,Paso Robles
Familia Schroeder,Argentina,Neuquén
Il Falchetto,Italy,Moscato d'Asti
Señorío de Caleruega,Spain,Ribera del Duero
Telmo Rodríguez,Spain,Toro
Breaux,US,Virginia
Chakras,Argentina,Mendoza
Château Henri Bonnaud,France,Côtes de Provence Sainte-Victoire
Château la Gordonne,France,Côtes de Provence
Contrada Michele,Italy,Fiano di Avellino
Coronica,Croatia,NA
Dr. Konstantin Frank,US,Finger Lakes
Argento,Argentina,Mendoza
Beau Joubert,South Africa,NA
Llopart,Spain,Cava
Maimai,New Zealand,NA
Masseria Felicia,Italy,Falerno del Massico
Miloš,Croatia,NA
Pedro Escudero,Spain,Vino de la Tierra de Castilla y León
Raats Family,South Africa,NA
Radford Dale,South Africa,NA
Sanpaolo,Italy,Greco di Tufo
Ammunition,US,Sonoma County
Cave de Bissey,France,Crémant de Bourgogne
Damsel,US,Columbia Valley (WA)
Domaine des Cognettes,France,Muscadet Sèvre et Maine
Domaine Julie Belland,France,Santenay
Domaine les Pins,France,Saint-Nicolas-de-Bourgueil
Fattori,Italy,Soave
Inama,Italy,Soave Classico
Karma Vineyards,US,Lake Chelan
Kiona,US,Red Mountain
Tranche,US,Yakima Valley
Trust,US,Columbia Valley (WA)
Whitecliff Vineyard,US,Hudson River Region
Wine Man,Georgia,NA
Zuccardi,Argentina,Valle de Uco
Bouza,Uruguay,NA
Cecilia Beretta,Italy,Amarone della Valpolicella Classico
Chakana,Argentina,Mendoza
Kale,US,Sonoma County
Twomey,US,Napa County-Sonoma County
Ty Caton,US,Sonoma County
W.T. Vintners,US,Walla Walla Valley (WA)
Waters Crest,US,North Fork of Long Island
Miraflores,US,El Dorado
Ridgeview Estate,England,NA
Robert Renzoni,US,Temecula Valley
Roth,US,Sonoma County
Seghesio,US,Alexander Valley
The Conqueror,US,Horse Heaven Hills
Henri Bourgeois,France,Pouilly-Fumé
Holly's Hill,US,El Dorado
Kathryn Kennedy,US,Santa Cruz Mountains
Keating,US,Rockpile
Locus,US,Wahluke Slope
B.R. Cohn,US,Sonoma Valley
Bodegas San Valero,Spain,Cariñena
Cantina di Bertiolo,Italy,Friuli Grave
Casa de Vila Nova,Portugal,NA
Treasure,US,Napa Valley
Truett Hurst,US,Dry Creek Valley
Artesana,Uruguay,NA
Beaucanon,US,Napa Valley
Bryx,US,Willamette Valley
Campolargo,Portugal,NA
Duorum,Portugal,NA
La Pitchoune,US,Russian River Valley
Lasseter,US,Sonoma Valley
Leonard Kreusch,Germany,NA
Liberated,US,North Coast
Donnafugata,Italy,Sicilia
Eagle Ridge,US,Livermore Valley
En Garde,US,Livermore Valley
Fontanafredda,Italy,Alta Langa
Billecart-Salmon,France,Champagne
Boizel,France,Champagne
Vignobles Carreau Selection,France,Blaye Côtes de Bordeaux
Casal da Coelheira,Portugal,NA
Le Brun de Neuville,France,Champagne
Quinta das Carvalhas,Portugal,NA
Shea,US,Willamette Valley
Skinner,US,El Dorado
Chamisal Vineyards,US,Edna Valley
Domaine Divio,US,Willamette Valley
Gramercy,US,Columbia Valley (WA)
Huré Frères,France,Champagne
Michel-Schlumberger,US,Dry Creek Valley
Pietradolce,Italy,Etna
José Dhondt,France,Champagne
Neyers,US,Sonoma Coast
Nicholson Ranch,US,Sonoma Coast
Cantine del Notaio,Italy,Aglianico del Vulture
Contrade di Taurasi - Lonardo,Italy,Taurasi
Cristom,US,Eola-Amity Hills
Twisted Twig,US,El Dorado County
Claar,US,Columbia Valley (WA)
Mumm Napa,US,Napa County
Parker Station,US,Central Coast
Sequoia Grove,US,Napa Valley
Skyfall,US,Columbia Valley (WA)
Haak,US,Texas
Inspire Moore,US,Finger Lakes
Les Vignobles Gueissard,France,Côtes de Provence
Louis Max,France,Côtes de Nuits Villages
Orogeny,US,Russian River Valley
Paris Valley Road Cellars,US,Monterey County
San Cassiano,Italy,Amarone della Valpolicella
Tin Barn,US,Carneros
Casas del Bosque,Chile,NA
Sanford,US,Central Coast
Commanderie de la Bargemone,France,Coteaux d'Aix-en-Provence
Le Albare,Italy,Soave Classico
LXV,US,Paso Robles Willow Creek District
